Cognate_ID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
266_language	ŋ a k~p/k	n u~ɔ/u	ŋ a k~p/k	n ɔ	n u	n u k	ɲ u (k)/k	ɲ ɔ
267_langur	ɕ a + ʑ ɛ t	z ə + z u	ɕ a + ʑ a	z ə + z u	z~ʥ/z ə + z u	z u	z ə + z u	z u
268_lap	d ɛ m	d ɛ̃ĩ	d ɛ m + m a	d ɛ̃ː	d ĩː	d ĩː	d ɛ̃ː	d ɛ̃ː
269_latevi	j ɔ t	j eˀ			j eˀ	j eˀ	j eˀ	
26_backn		n a + k u ŋ		n a + g u ŋ	k yː	k yː	ɲ a + kʰ u ŋ	ɲ a + kʰ u ŋ
270_laugh	ʑ ɛi	z ɛː~aː/ɛː	ʑ ej~e/e	ʐ aː	z ɛː	z ɛː	z aː	z aː
271_leaf	u + l a p	a + l ɛˀ	u + l a p	a + l a	a + r a p	a + r a p	a + l a p	a + l a p
272_leaflitter	s u m + b aˀ	s ɔ ɹ + b ɔ	s u m + b a	s ɔ ɹ + b ɔ	s u + b ɔ	s ə + b oː	s ɔ ɹ + b ɔ	s ɛ j + b u
273_leechland	p a t + p a	pʰ y + w ɛ	p a t + p a	pʰ a + w ɛ	pʰ u + w a p	pʰ ə + pʰ ɛ	pʰ u + w a t	p a t + p u
274_leechwater		pʰ yː + pʰ + tɕʰ i k	pʰ u + t i s	d i + tsʰ i k	pʰ + tɕʰ i k	pʰ + tɕʰ i k		tɕʰ i n + tɕʰ ɹ i k
275_leftside	j ɔ m + l a k + p a	ə~a/ə + h e + t ɛ n	ɲ i m + l~d/l a k + p a	a + x ɛ	ə + h e	h e + t ɔ	b ə + kʰ e	b ə + kʰ e
276_leg	l ɛi	l ɛˀ	l ei	l aː	l ɛˀ	l ɛˀ	l aˀ	l a
277_lick	l a k	l ɐ k	l a k	l ɐ k	l a k	l a k		
278_lien	z ɔ k	s + t eˀ	h a l + ʥ a	t ɛˀ	s + t eˀ	s + t eˀ	s + t eˀ	s + t eˀ
279_liftcompletelycarry	kʰ a ŋ		kʰ a ŋ		kʰ a ŋ		kʰ a ŋ	kʰ a ŋ
27_backwards			kʰ i s~ɕ/ɕ		l i + kʰ eː	l a + kʰ eː	l ə + kʰ eː	
280_light	j a ŋ + p u	a + r u ŋ + d u	j a ŋ + ɕ ɔ k	a + r u ŋ + d u	a + r u ŋ + d u	a + r u ŋ + d u	a + r u ŋ + d u	a + r u ŋ + d u
281_lightning	b r u k	n a m + b l a + kʰ ɛː	n a m + l i ŋ	n ə + tsʰ aː	n a m + t a p	n a m + tɕʰ ə + r ɛː + r ɛ t	n ə + m yː + b a + t a p	n i + m i + b a + t a p
282_likelove	h ɔ n		g a	x øː	h ĩː	h yː	h ø n	
283_liquor	pʰ a k	pʰ ɐ k	pʰ a k	pʰ ɐ k	pʰ a k	pʰ a k	pʰ a k	pʰ a k
284_listenheed	n a	n u	n a	n u	n u ŋ	n u ŋ	n u (ŋ)/ŋ	
285_livestay	dʑ u	dʑ ɔː	dʑ u	dz ɔː	dʑ ɔː	dʑ oː	dʑ au	dʑ au
286_liver	ɕ a + t a ŋ	s ɛ̃ĩ	ɕ a + p ɕ i n	d ə + tsʰ ɛ̃ː	s~ʦʰ/s (ə)/ə + s ĩː	a + tɕʰ ĩː	a + tsʰ ɛ̃ː~ĩː/ɛ̃ː	a + tsʰ ɛ̃ː
287_loadn	j ɔ ŋ		j ɔ ŋ	j u ŋ	j u ŋ	j u ŋ	j u ŋ	
288_locative	kʰ ɔ	l ɔ	kʰ ɔ	kʰ ɔ	l ɔ	l ɔ	g ɔ	kʰ ɔ
289_long	u + r i ŋ	a + r ɛ ŋ	u + l i ŋ	a + r ai~aj/ai ŋ	a + r ɛ ŋ	a + r ɛ ŋ	a + r ɛ ŋ	a + r ɛ ŋ
28_bad	u + ʑ a n	a + n u	u + ʑ a n	a + ʐ ɐ̃ː	a + z ɔ̃ː	a + z ɔ̃ː	a + z ɔ̃ː	
290_look	d ɔi	l ɛ n	d ui	l ɛ n	l a n	l ɛ n	l a n	
291_louse	h j ɛ k	h ɛ k	h ɛ k	x aj/ai k	h ɛ k	h ɛ k	h ɛ k	h ɛ k
292_lungs	ɕ a + s ɔ m	s ə + r ɛ̃ĩ + s ə + r u k	ɕ a + b ɔ ŋ	s ə + r ĩː + s ə + r u k	s ə + r ĩː + s ə + r u k	s u + s ə + r u k	s ə + l y ŋ + s ə + r u k	s ə + l u ŋ + s ə + r u k
293_macaque	ɕ a + d ɔ ŋ	z ə + d u ŋ		ʐ y + d u ŋ	z ə + d u ŋ	z ə + d u ŋ	z ə + d u ŋ	z ə + d u ŋ
294_machete	h ɔ t + d a	h a ŋ + g~d/d uː	h ɔ + d a	h a n + d uː	h a n + d uː	h a n + d uː	h a n + d uː	h a n + d uː
295_maize	m ɛi + ɕ i ŋ	m ə + tɕ ĩː	m ɔː + ɕ ɔ	m a + ts ɛ̃ː	m ə + tɕ ĩː	pʰ~b/b + tɕ ĩː		
296_make	tɕʰ ɔ t		tɕ ɔ s	tɕʰ ɛ t				
297_male	u + pʰ a	a + pʰ uː	u + pʰ a	a + pʰ uː	a + pʰ uː	a + pʰ uː	a + pʰ uː	a + pʰ uː
298_man	ʑ ɔː + pʰ a	dʑ ə + h uː	ʑ ɔː + pʰ a	dʑ ə + f uː	dʑ ə + h uː	dʑ ə + h uː	dʑ ə + h uː	dʑ ə + h uː
299_manure	h e + b a			h a + w uː	l uː	l a + w uː	h ũ	
29_bamboo	m ɛi	m ɛˀ	m ei	m aː	m ɛˀ	m ɛˀ	m aˀ	m a
2_2plexcl	n a + ɹ		n a + l u			n a + r yː	n aː + b l u ŋ	n aː + b l u ŋ
300_marrow	k a ŋ	a + n yː	k a ŋ	m a + n y	a + n yː	a + n yː	a + ɲ yː	
301_marten	t a ŋ + k ɔ ŋ	t a ŋ + k u ŋ	t a ŋ + k ɔ ŋ	tʰ a ŋ + kʰ u ŋ	t a ŋ + k u ŋ	t a ŋ + k u ŋ	t a ŋ + k u ŋ	t a ŋ + k u ŋ
302_meatanimal	ɕ a	s uː	ɕ a	a + x yː	s uː	s uː	s uː	s uː + a + t ɛ̃ː
303_medicine	m a~ɛ/a n	m ɛ n	p ɛ n	m ɛ n	m a n	m ɛ~a/ɛ n	m a n	m a n
304_meet	ɕ u		ɕ u	ʂ yː~yːj/yː	s yː		s yː	
305_melt	ʑ u	z yː	ʑ u	ʐ yː	z yː	z yː	z yː	z iː
306_middlecentre	ɔ + ts ɔ ŋ		ɔ + ts ɔ ŋ	a + ts u ŋ			a + ts u ŋ	
307_mijipeople		kʰ u + n ɔ̃ː + dʑ i		kʰ u + n ɔ̃ː		kʰ u + n ũː (ŋ)/ŋ	kʰ u + n ũː	kʰ u + n ɔ̃ː
308_milletbroomcorn	ɲ i ŋ + tɕʰ a k			n ə + tɕʰ ɐ k		n ə + tɕʰ a k	n ə + tsʰ a k	n ə + tɕʰ a k
309_milletfinger	k ɔ ŋ + p u	kʰ + tɕ ɛ n	k ɔ ŋ + p u	g ə + ts a n	kʰ + tɕ a m	kʰ + tɕ a m	g ə + ts~ʨ/ʨ a m	g ə + tɕ a m
30_banana	l ɛi + s i	m ə + s u ŋ	l e + s i	m a + s u ŋ	m ə + s u ŋ	pʰ + s u ŋ	m~b/m ə + s u ŋ	m ə + s u ŋ
310_milletfoxtail	ɲ i ŋ + kʰ aˀ			n ə + kʰ u	n ə + kʰ u		n ə + kʰ u	n ə + kʰ u
311_mithun	ɕ a + m a	s ə + m uː	ɕ a + m a	ʂ a + m	s u + m	s u + m	s ə + m uː	s ə + m uː
312_monpa	m ɔ n + p a		m ɔ n + p a	dʑ ə + m ɐ̃ː		m ɔ n + p a	dʑ ə + m ɔ̃ː	dʑ ɔ + m ɔ̃ː
313_moonmonth	n a m + b a	n a m + b l uː	n a m + b a	n a m + b l uː	n a m + b l uː	n a m + b r uː	n a m + b l uː	n a m + b l uː
314_morning	n a m + s a ŋ	s ə + r uː + s ə + r i	n a m + s a ŋ		n ə + r uː	n ə + r uː	ɲ ə + r uː	ɲ y + r uː
315_mortarwood	tsʰ u m	tɕ ø n	tsʰ u m	ts ø n	tɕ ɔ m	tɕ ø m	ts ɔ m	tɕ ɔ m
316_mother	a + m a	a + m uː	a + m a	a + m uː	a + m uː	a + m uː	a + m ɔ	a + m o
317_mountain	l a	l uː	l a	l uː	l uː	l uː	l uː	l uː
318_mountainpeak	r i~iw/i		l i + g u ŋ		r i + w uː	r iː + w uː	r iː~iw/iː	
319_mouserat	s a m + t u	s + tʰ øˀ	s a m + t u	s + tʰ øˀ	s + t ɔ p	s + t øˀ	s + t ɔ p	s + t ɔ p
31_barley	pʰ ɔ k	pʰ u k	pʰ ɔ k	pʰ u k + d a + k l øː	pʰ u k	pʰ u k	pʰ u k	pʰ u k
320_mouth	h u~/ɔ + tɕ u	s ɔː	h ɔ + tɕ ɔ	d ə + tsʰ ɛː	s~ʨʰ/ʨʰ ə + s ɔː	tɕʰ ə + tɕʰ oː	n~d/n ə + tsʰ au	n ə + tɕʰ au
321_much	m j ɛ + k a	a + m ɛ	m e + k a	a + m ɛ	a + m ɛ	j ə + m ɔ	a + m a t	a + m a t
322_mud	kʰ a + tɕʰ a m	kʰ + tɕʰ ɔ̃ː (ŋ)/ŋ	kʰ a + tɕʰ a m	g a + tsʰ yː	kʰ + tɕʰ ũː (ŋ)/ŋ	kʰ + tɕʰ ũː (ŋ)/ŋ	g ə + tɕʰ ũː	kʰ + tɕʰ ɔ̃ː
323_mushroom	m u	m yː	m u	m yː	m yː	m yː	m yː	m iː
324_nagaserpentdeity	h u		h u				l yː	
325_nail	h u t + ts u n~m/n	i k + tɕʰ i ŋ	h u t + tɕʰ i n	i k + ts i ŋ	i k + tɕ i ŋ	i k + tɕ i ŋ	i k + ʨ~ts/ʨ i ŋ	i k + tɕ i ŋ
326_name	b i ŋ	a + dʑ ɛ ŋ	b i ŋ	a + dz aj/ai ŋ	a + dʑ ɛ ŋ	a + dʑ ɛ ŋ	a + z ɛ ŋ	a + z ɛ ŋ
327_namshupeople	n a m + ɕ u + p a	n ə + tɕʰ o + dʑ i	n a m + ɕ u + p a	n a + tsʰ ɔː + dʑ i		pʰ + tɕʰ oː + dʑ i		
328_navel	b ɔ + d i	s ə + r iː + b + r ɛː	b ɔ + d i	b + r aː	pʰ~f/pʰ ə + r i ŋ + b + r ɛː	s ə + r i ŋ + b + r ɛː	s ə + r i ŋ + b + r aː	b u + t i + m u
329_neck	h ɛ n + tʰ ɔ ŋ		h ɛ n + tʰ ɔ ŋ	n ə + t u + x ĩː	n ə + tʰ u ŋ	pʰ + tʰ u ŋ	tʰ u ŋ + ts ɛ̃ː	t a k + r aː
32_bastard	d ɔu + l a	d u + f l ɐːʰ/ɐ	d au + l a	d ə + pʰ l ɐːʰ/ɐ	d u + pʰ l ɔːʰ/ɔː	d a + pʰ l ɔːʰ/ɔː	d ə + pʰ l ɔːʰ/ɔː	d ə + pʰ l ɔː
330_needtohaveto	tsʰ ɛ t		tsʰ ɛ t	tsʰ ɛˀ	tɕʰ eˀ	tɕʰ eˀ	tɕʰ eˀ	
331_needle	p ɕ i	pʰ l iː	p ɕ i	pʰ l iː	pʰ l iː	pʰ l iː	pʰ l iː	pʰ l iː
332_negativeprefix	b a	b ə~y/ə	b a	b y~ə/ə	b ə~y/ə	b y~ə/ə	b ɔ~i~ə/ə	b ə~i~ɔ/ə
333_nesthivewomb	kʰ ɔ p~k/p	kʰ ɔ k	kʰ ɔ p	kʰ ɔ k~p/k	kʰ ɔ k	kʰ ɔ k	kʰ ɔ k	kʰ ɔ k
334_netforfishing	tɕʰ ɔ p		tɕʰ ɔ p	tsʰ u k			tsʰ~tɕʰ/tɕʰ u k	
335_new	ɔ + kʰ ɔ n	ə + h ɛ n	ɔ + h a n	a + f ɛ n	a + f a n	a~ɛ/a + h ɛ n	a~ɔ/a + f a n	u + f a n
336_night	n a m + pʰ ɔ ŋ		n a m + pʰ ɔ ŋ	n a + pʰ u ŋ	n ə + pʰ u ŋ	n ə + pʰ u ŋ	n ə + pʰ u ŋ	n ə + pʰ u ŋ
337_nine	tʰ i + kʰ u	tʰ + kʰ yː	tʰ i + kʰ u	d y + kʰ yː~yːj/yː	tʰ ə k + kʰ yː	tʰ ɛ k + kʰ yː	d ə + kʰ yː	d ə + kʰ yː
338_nomenagentis	kʰ ɛ n	kʰ ɛ n	kʰ ɛ n	kʰ ɛ n	kʰ a n	kʰ ɛ n	kʰ a n	kʰ a n
339_nominaliser	b~p/b a	b a	b~p/b a			b a		
33_bat	pʰ a + w a ŋ	tɕʰ a + pʰ ɔ̃ː	pʰ a + b a ŋ	dʑ ə + pʰ l ɔ̃ː	pʰ ɔː + w a ŋ	tɕʰ a m + pʰ ɔ m	ʦʰ~tɕʰ/tɕʰ a m + pʰ l aː~ɔ̃ː/ɔ̃ː	p a ŋ + p a ŋ
340_noon	b i~u/i s + t a n	h a + t ɐ̃ː	b u ɕ + t a n	h a + t ɐ̃ː	h a + t ɔ̃ː	h a + t ɔ̃ː	h a + t ɔ̃ː	h a + t ɔ̃ː
341_nose	h ɛ m + pʰ ɔ ŋ	n ə + pʰ u ŋ	h ɛ m + pʰ ɔ ŋ	n ə + pʰ u ŋ	n u~ə/ə + pʰ u ŋ	m a + pʰ u ŋ	l~n/n ə + pʰ u ŋ	n ə + pʰ u ŋ
342_oil	n u m		n u m		tʰ oː	tʰ oː	tʰ oː	tʰ oː
343_okay	ai	ɐː	aj~e/ai		ɔː	ɔː		
344_old	ɔ + m ɛ n	a + m ɛ n	ɔ + m ɛ n	a + m ɛ n	a + m a n	a + m ɛ n	a + m a n	a + m a n
345_one	h i n	h ɛ n	h i n	h ɛ n	h a n	h ɛ n	h a n	h a n
346_other	b i	dʑ i	b i	dʑ i	dʑ i	dʑ i	dʑ i	dʑ i
347_otter	ɕ a + r a m	n y~ə/y + m ɐ k	ɕ a + l a m	n ə + m ɐ k	n y + m a k	n y~i/y + m a k	ɲ ə~y/y + m a k	ɲ u + m a k
348_outside	ɕ i	a + h ɔ̃ː (ŋ)/ŋ	ɕ i	a + f ũː + r ɔ	a + h ũː (ŋ)/ŋ	u + h ũː (ŋ)/ŋ	a + h ũː (ŋ)/ŋ + g ɔ	ɔ + h ɔ̃ː
349_palmsole	pʰ a + ɹ a	i k + tʰ ɔ̃ː (ŋ)/ŋ	pʰ a + l a	i k + tʰ ɔ̃ː	i k + p a ɹ	i k + p a ɹ	l a + ts a + p a ɹ	i k + p a ɹ
34_beans	k ɔ r + ɕ a	pʰ ɔ ŋ + b a	pʰ o + b i n	pʰ ɔ ŋ + b a	pʰ ɔ m + b ɛ	pʰ a m + b ɛ	pʰ a m + pʰ l a	
350_pangolin				r y + w øː	s y + w ɛːʰ/ɛː	s u + w ɛːʰ/ɛː		
351_partridge	k a m + k ɔu	h u + kʰ øː			f + kʰ øː	m ɔ + kʰ øː		kʰ ɔi + kʰ ɔi + m a
352_pathroad	h u + m a	h a + m u	h u + m a	h a m	l y m	l u~y/y m	n~l/l ə + m u	l ə + m u
353_patientmarker	ɲ i		ɲ i	ɲ iː	n iː	n iː	j iː	
354_peas	ʥ a m + pʰ o p + l i ŋ	pʰ u k + pʰ ɔ ŋ + b a	ʥ a m + pʰ o + b i n	pʰ u k + pʰ ɔ ŋ + b a	pʰ u k + pʰ ɔ m + b ɛ	pʰ u k + pʰ a m + b ɛ	pʰ u k + pʰ a m + pʰ l a	s u k + pʰ a m + pʰ l a
355_penis	l a k	l ɐ k	l a k	l ɐ k	l a k	l a k	l a k	l a k
356_pheasantkalij	m u n + n a ʔ + h ɔː + k i	h u + tɕʰ ɛ k	d u ŋ + ŋ a + w a + kʰ i	f ə + ʈʂʰ aj/ai k	f + tɕʰ ɛ k	pʰ ə + tɕʰ ɛ k	b ə + kʰ ɛ k	b ə + kʰ ɛ k
357_pheasanttragopan	b a p	h u + b a			h u + b ɔ		h u + b ɔ	b a p
358_pig	ɕ a + b a k	s ə + w ɐ k	ɕ a + b a k	ʂ u + w ɐ k	s u + w a k	s u + w a k	s u + w a k	s u + w a k
359_pillow	kʰ u + kʰ u m	s a + kʰ ø n	kʰ u m + u	ʂ a ŋ + kʰ ɔ~ø/ø n	s a ŋ + kʰ ɔ m	s a ŋ + kʰ ɔ~ø/ø m	s + k ɔ m	s + k ɔ m
35_bear	ɕ a + tʰ ɔ m	s + tʰ u ŋ	ɕ a + tʰ ɔ m	ɕ + tʰ u ŋ	s + tʰ~t/t u ŋ	s + t u ŋ	s + t u ŋ	s + t u ŋ
360_pinch	ts i k		ts i k	ts i k	tɕ i k	tɕ i k	ts i k	
361_pinekindle	b ɛi + ts i	b a + tɕ i	b i + ts i	b a + ts i	b a + tɕ i	b a + tɕ i	b aː + b ə + ts i	b a + p + tɕ i
362_plait	pʰ a	pʰ ɛˀ	pʰ a	pʰ l a	pʰ uː		pʰ uː	
363_plantvt	h ai		h ai	h ɐː	l ɔː	l ɔː	l ɔ	
364_play	l ɛi	m ɛ ŋ	l ei	l ɐː	j ɛ ŋ	j ɛ ŋ	l oː	l oː
365_ploughv	w ɔi		w ui	w ɐː	w ɔː	w ɔː	w oː	
366_plural	tʰ eˀ	tʰ i k	tʰ e	tʰ i k	tʰ ɛ k	tʰ ɛ k	tʰ iː	
367_poison	d u k~p/k	d y k	d u k	d y k	d y k	d y k	d y k	d u k
368_porcupine	ɕ a + b ɛi	s u + b ɐʰ/ɐ	ɕ a + b i	ʂ u + b ɐʰ/ɐ	z u + b ɔʰ/ɔ	s ə~u/ə + b ɔʰ/ɔ	s ə + b ɔ	s ə + b ɔ
369_potatobean	m ɛ n				m a n		m a n	
36_beathit	m a k	w ɐ k	m a k	w ɐ k	m ɔ	m a k	m a k	s i t
370_pour	h u k		h u k				l y k	l u k
371_present	d eˀ		d e	d i				
372_prohibitiveprefix	tʰ a	tʰ ə	tʰ a		tʰ ə	tʰ ə	d ə	d ə
373_pull	kʰ j ɛ ŋ	g iː	kʰ ɛ ŋ	g iː	g iː	tɕʰ ɛ ŋ	kʰ ɛ ŋ	kʰ ɛ ŋ
374_pulse	ɕ a k + p u	s ɐ k + p yː	ɕ a k + p u	ɕ ɐ k + p yː	s a k + p yː	s a k + p yː	s a k + p yː	s a k + p iː
375_pumpkin	b r u m + ɕ a	m a + pʰ l u ŋ	b u ŋ + ɕ a	m a + pʰ l u ŋ	m a + pʰ l u ŋ	m a + pʰ l u ŋ	b u ŋ + bl~gl/b l ɔ̃	b r u m + s ɔː
376_puroik	b i + s + t a ŋ		b i + ɕ + t a ŋ	ɕ + t a ŋ			s + t a ŋ	
377_pus	h ai	a + n ɐ̃ʰ/ɐ̃	h ai	a + n ɐ̃ʰ/ɐ̃	a + n ɔ̃ʰ/ɔ̃	a + n ɔ̃ʰ/ɔ̃	a + n ɔ	a + n ɔ
378_push	d u	r yː	d u	r yː	r yː	r yː	r yː	r yː
379_put	tɕ ɔi	tɕʰ ɐʰ/ɐ		tsʰ ɐʰ/ɐ	tɕʰ ɔʰ/ɔ	tɕʰ ɔʰ/ɔ	tɕʰ ɔʰ/ɔ	tɕʰ ɔʰ/ɔ
37_beautiful	u + l i s		u + l i ɕ + t a			a + l eː + d u	a + l eː + d u	
380_quarrelv	ai + ɕ ɔ ŋ	j ɛˀ + iː	ai + ɕ ɔ ŋ	j a + iː	j ɛˀ + iː	j ɛˀ + iː	j a + d i	
381_question	j a		j a		j a	j a	j a	
382_quiver	ʑ i p + l i	z i	l i + ʑ i + b i	ʐ i	z i	z i	z ə + z yː	z i + l i
383_radish	m u + l a	m ə + l uː	m u + l a	m a + l uː	m ə + l uː	m ə + l uː	m ə + l uː	m u + l uː
384_rahungpeopleof		r ə + pʰ i ŋ + dʑ i	l a + pʰ u ŋ + b i	r ə + pʰ i ŋ + dʑ i			r ə + pʰ y ŋ + dʑ i	r u + pʰ u ŋ + dʑ i
385_rainn	n a m + tsʰ a	n ə + tɕʰ uː		n a + tsʰ uː	n ə + tɕʰ uː	pʰ + tɕʰ uː	n ə + tsʰ oː~uː/uː	
386_rainbow	tʰ ɔ ŋ + l i ŋ	pʰ a ŋ + l u	tʰ ɔ ŋ + l i ŋ	p aː + h u	pʰ a ŋ + l u	pʰ a ŋ + r u ŋ	pʰ a ŋ + kʰ ə + l ũ (ŋ)/ŋ	pʰ a ŋ + kʰ ə + l u
387_reap	r a m				r ũː (ŋ)/ŋ	r ũː (ŋ)/ŋ	r ũː (ŋ)/ŋ	
388_recognise	i s		i s	ɛ̃ˀ	ĩˀ	ĩˀ	ɛ̃ˀ	
389_red	ɔ + h j ɛ k	ə~a/ə + h ɛ k	ɔ + h ɛ k	a + x aj/ai k	ə~a/ə + h ɛ k	ə + h ɛ k	ə + h ɛ k	ə + h ɛ k
38_bee	tɕʰ i + kʰ u s + a + m a	tɕʰ ə + kʰ ø + m uː	tɕʰ i + kʰ u s + a + m a	tɕʰ ə + x ø + m ɐːʰ/ɐ		tɕʰ a ŋ + kʰ ø + ə + m	tɕʰ ə + kʰ ø + m ɔː	tɕʰ ə + kʰ e + m ɔː
390_reflexivemarker	b i	dʑ i	b i	dʑ i	dʑ i	dʑ i	dʑ i	dʑ i
391_restn	ɕ ɔ k		ɕ ɔ k	a + tɕ y k	a + tɕʰ ɔ̃ː	tɕʰ ɔ̃ː	d o + tɕʰ ɔ k	
392_rib		h ə + r ɛ̃ĩː	ɕ i + k i + l i ŋ		h ə + r ĩː	h ə + r ĩː	h a~ə/ə + r ɛ̃ː	h ə + r ɛ ŋ
393_ricehusked	n i m + d i	tɕʰ uː	n i m + d i	tsʰ uː	tɕʰ uː	tɕʰ uː	n ə + d ɔ p	n ə + d ɔ p
394_riceunhuskedpaddy	n i + ɕ i	a + s eː	n i + ɕ i		n ə + s eː		n ə + s eː	n i + s eː
395_ridemount	i ɹ		i l				ɛ̃ː (n)/n	
396_right	u + ɕ u	a + tɕ ɐ̃ː	u + ɕ u	a + ts ɐ̃ː	a + tɕ ɔ̃ː	tɕ ɔ̃ː	a + ts ɔ̃ː	a + tɕ ɔ̃ː
397_ripe	j ɔ m + b a	j u ŋ + b a	j ɔ m + b a	a + j u ŋ	a + j u ŋ	j u ŋ + b a	j u ŋ + b a	a + j u ŋ
398_roof	w a m + tɕʰ a		w a m + tɕʰ a	j a m + tsʰ ɔ̃ː ŋ	n a m + b ə + tɕʰ ũː ŋ	j a m + tɕʰ ũː ŋ	j a m + tsʰ ɔ ŋ	
399_root	r a + b a	i + h ĩː	h i ŋ + ŋ a + l ei	a + x ĩː	a + h ĩː	ə + h ĩː	ə + h ĩː	r a + b ɔː
39_beerfilter	tʰ ɔ k	tʰ ɔ k	tʰ ɔ k	tʰ ɔ k	tʰ ɔ k	tʰ ɔ k + b ɹ oː	tʰ ɔ k	kʰ i + tʰ ɔ k
3_2plincl	n a + ɹ + tʰ eˀ	n a + tʰ i k	n a + l + tʰ e	n a + tʰ i k	n a + tʰ ɛ k	n a + tʰ ɛ k	n aː + tʰ i k	n aː + tʰ i k
400_rope	tʰ a k	s + tʰ ɐ k	tʰ a k	ɕ + tʰ ɐ k	tʰ a k	tʰ a k	tʰ a k	tʰ a k
401_rotvi	h a m	h ɔ̃ː	h a m	x ũː	h ũː	h ũː ŋ	h ũː	h ɔ̃ː
402_roundsmallobject	b ɹ u		b u	l a k + a + b yː	b ɹ ɔː	s u k + a + b yː	l a k + a + b ɹ yː	l a k + a + b ɹ yː
403_rub	r u t	n y ŋ	b i l	n y ŋ	tʰ yː	n y ŋ	n y ŋ	
404_rubsharpen	ʑ i n		ʑ i n	ʐ yː~yːj/yː	z yː	z yː	z yː	
405_run	d u r	l ɛ	d u l	ts ɔː	r i ŋ	tɕ ɛː	c~ʨ/ʨ aː	tɕ aː
406_sago	n u k	n y k	n u t	n y k	n y k	n y k	n y k	n u k
407_saliva	kʰ a + tɕʰ u ɹ		kʰ a + tɕʰ u	d a + tsʰ ĩː	t a + z yː	t a + tɕʰ yː		
408_salt	h a	h u ŋ	h a	h ũː	h u ŋ	h ũː (ŋ)/ŋ	h ũː (ŋ)/ŋ	h u ŋ
409_sameequal	t aˀ + d a + t aˀ + d a	h ɛ n + d ɔ	t a + b a	a + t u	a + t u		a + t u	h a n + d ɔ
40_beerstrainer	kʰ a s + k i	k a + tɕ ɛˀ	kʰ a s + k i		b y ŋ + kʰ a + tɕ i			
410_sand	b e + ʦ a	kʰ + pʰ ɐʰ/ɐ	b e + ʦ a	g ɔ + pʰ ɐʰ/ɐ	kʰ ə + pʰ ɔʰ/ɔ	kʰ ə + b ɔʰ/ɔ	m ə + kʰ ɔ	b e + ʦ ɔ
411_say	i n	ɛ n	i n	ɛ n	a n	a n	a n	a n
412_scratch	d ɔ k	h øː	d ɔ k	d ɔ k	h ĩː	h yː	d ɔ k	d ɔ k
413_search	s u		s u	s ɔː	s ɔː	s oː	s au	
414_see	ai		ai			ɔː	oː	oː
415_seed	l i	a + l iː	l i	a + l iː	a + r iː	a + l iː	a + l iː	a + l iː
416_serow	ɕ a + r i	s ə + r ɛː	ɕ a + l i	ʂ ə + r aː	s ə + r ɛː	s ə + r ɛː	s ə + r aː	s ə + r aː
417_settle	tɕʰ a k	t ɹ ɔ k	tɕʰ a k	ʐ ɔ	tɕʰ a k	tɕʰ a k	tsʰ~ʨʰ/ʨʰ a k	tɕʰ a k
418_seven	ɕ i s	s i k	ɕ i s	ʂ i k	s i k	s i k	ɕ i t	ɕ i t
419_sew	ɕ i ŋ	tɕʰ ɛ̃ː ŋ	ɕ i ŋ	ʦ a k	tɕʰ ĩː ŋ	tɕʰ ĩː ŋ		
41_behind	l a + kʰ u n		l a + kʰ u n			l a + kʰ eː	d ə + kʰ eː	
420_shade			tɕʰ a p		tɕʰ a p		tɕʰ a p	
421_shake	kʰ a		kʰ a	m a ŋ + kʰ i + kʰ i	kʰ uː	kʰ uː	kʰ uː	
422_sharp	u + tɕʰ u	a + tɕʰ ɔː	u + ɕ u	a + tsʰ ɔ̃ː	a + tɕʰ ɔ̃ː	a + tɕʰ ɔ̃ː	a + tsʰ~/ʨʰ au	a + tɕʰ au
423_sheep	ɕ a + k ɛi	s + kʰ ɛː	ɕ i + k i	ʂ + kʰ aː	h ɛ̃ː	s + kʰ~k/k ɛˀ	s + k aː	s + k aː
424_shelf	pʰ a ŋ + k a ŋ				pʰ a ŋ		pʰ a ŋ	
425_sherdukpen	ɕ ɛ r + t u k + p ɛ n	tʰ ɔ̃ ŋ + dʑ i	ɕ ɛ l + t u k + p ɛ n	tʰ ɔː + m ø + dʑ i		tʰ ə + m ø + dʑ i	m øˀ	m eˀ
426_shergaonpeopleof		s ɛ̃ː (n)/n + dʑ i	ɕ ɛ l + p i	ʂ ɛ̃ː (n)/n + dʑ i		s ɛ̃ː (n)/n + dʑ i	s ɛ̃ː (n)/n + dʑ i	
427_shoefootwear	l e + h a m		l e + h a m				l ə + l ũː ŋ	
428_shoot	d j ɛ k	r ɛ k	d i k	r u k	r ɛ k	r ɛ k	r ɛ k	r ɛ k
429_short	kʰ a n + d a	a + tʰ u ŋ + d u	kʰ a n + d a	a + tʰ u ŋ + d u	b r ɔː + d u	a + tʰ u ŋ + d u	a + tʰ u ŋ + d u	a + tʰ u ŋ + d u
42_bellyabdomen	h i + l i ŋ	s ə + r ĩː	h i + n i ŋ	s ə + r ĩː	pʰ ə + r i ŋ	s ə + r i ŋ	s ə + r i ŋ	s ə + r i ŋ
430_shoulder	pʰ a k + t u ŋ	pʰ a + n y ŋ	pʰ a k + t u ŋ		j ə + pʰ a k	j a + pʰ a k	l ə + pʰ~f/pʰ a k	l ə + pʰ a k
