Cognate_ID	Ak	Ar	Aw	Gv	Ju	Ka	Kt	Ku	Ma	Me	Mu	Mw	Pg	Pt	Pu	Sa	Su	Ta	Tu	Uk	Wa	Xi	Zo
75_water	ɨ k ɨ	iː	ʔ ɨ	i ì/i + p â/a à/a p	i j á/a	i c ɨ	e s e	t í/i t i	ʔ ɨ	ɨ k ɨ	i d i̤ b í/i		ɨ	ɨ h ɨ	ʃ e ɾ e	iː	íí/iː tʃ e ɾ	h ɨ	j ɨ	ɨ	ɨ g ɨ	i j a	iː t e t
76_rain		dz oː j	a m a n	dz o j	a m á/a n á/a	a m ã n	e	í/i b ɨ j a t	ʔ ɨ	a s o a p	w ə̃́/ə̃ j b a á/a t	i ʔ a m aː n	a m a	a m a n	a m ã n	z o j	ɬ o j	a m ɨ n	j ɨ	a m a n	ɨ g ɨ	m a n a	z o j
77_stone	w a ʔ i	c a ʔ a	k ɨ t a	i c í/i a	k u a h a	i j á/a + ʔ a ʔ	e j e p o	w í/i t a ʔ a	β a + i	w a ʔ i	w i t á/a ʔ a	n u	i t a	i t a k ɨ	m b u ɾ u ʔ a	ʃ á/a ʔ a	i ʃ áá/aː + a	i t ã	k w a i	i t a	ŋ g w a i	k u a p a	i c á/a a
78_sand		s a k í/i t k á/a p	ɨ t a ʔ a t i ŋ	i c á/a g á/a p	e t á/a	c a ɾ o k ã j a	ʔ e j	w í/i ɮ a ɮ a	k ɨ dʒ i	t o p i s i ɾ i k	k a ʔ ó/o ɾ i ɾ i t	ɨ i k ɨ t	ɨ v ɨ k u ʔ i	ɨ ʔ ɨ t i ŋ	ɨ j + ʃ a b a ɾ a k a p	i s á/a g á/a p	ŋ õ/õː j ŋ íí/iː ɾ		k o j õ p ɨ ʔ ɨ t	ɨ w ɨ k u ʔ i	k ĩ ɲ õ	t ã j ã j ã	i c á/a g á/a p
79_earth	k ɨ j t	ɲ ẽ́ẽ́/ẽː j	a m a n t a ʔ o k	g ṍṍ/õː j	e p í/i á/a	i g a n ã	e j e p i	w i ʔ	k ɨ j	k ɨ m a k ĩ j	i̤ p í/i	ɨ i	ɨ v ɨ	ɨ v ɨ	ʔ ɨ j	g iː t ʔ a	ŋ ṍṍ/õː j	ɨ w ɨ	k ɨ j t	ɨ w ɨ	k ɨː j t	i p ɨ a	g ṍṍ/õː j
7_who		m é/e	k o j ɨ k a	m é/e	m á/a	m õ ɾ ã		a b ɨ	a l i k o p	a ɾ o b ẽ p	a b ə́/ə	u w ẽ i	m a v a	m a ʔ ŋ a				ã w ã	a p o	a w a	a p o k w aː t	m a	m é/e
80_cloud		β a k o t	ɨ w ɨ t i ŋ	β á/a k o ɾ a á/a		c a ɾ o g ĩ n	e s ɨ ɾ a	k a b i ɮ o ɮ o	ɨ p ɨ g e t	k w a j p e + n iː k	k a b i k é/e ɾ é/e ɾ é/e	ɨ w ɨ h i ŋ	a ɾ a i	a t a t i ʔ ŋ i u h u		β a k óó/oː t ʔ a	ŋ á/a n i k í/i t	a m ɨ n ã i p	j ɨ t o p ʔ a	ɨ w a + t a k ã ʃ ĩ	ɨ g ɨ p i k ã ɾ ã ŋ	k a p u s ĩ ã	β á/a k o ɾ a á/a
81_smoke	n i ŋ	ɲ íí/iː k ʔ a	t a ʐ a t i ŋ	p ó/o k ã́/ã j d ĩ k	a ʃ í/i ʃ i ʔ ã́/ã	c a ɾ o g ĩ n	i s o + ɲ ĩ ŋ g a	t ĩ ŋ	ɲ ĩ ŋ g ẽ n	o t a t + n iː k	t i ŋ	ɨ h i ŋ	t a t a t ĩ	a t a t i ŋ		β a d ĩ k	m ó/o k á/a j + n ĩ ŋ		s ĩ n	t a t a + t a k ã ʃ ĩ	ɲ ĩː ŋ	s i ã	p ó/o k ã́/ã j n i k
82_fire	o t a t	k ã́/ã j	ʔ a p o	p ó/o k ã́/ã ã̀/ã j	a ʃ í/i	c á/a n + n ã ʔ	i s o	ɮ á/a ʃ a	u j tʃ a t	o t a t + p o k	d a ʃ á/a	a ɾ j a	t a t a	a t a	β o k	k ã́/ã ã̀/ã j	m ó/o k ã́/ã ã̀/ã j	ã t ã	k o p k a p	t a t a	a g o p k a p	a ʃ i	p ó/o k ã́/ã ã̀/ã j
83_ash	u t a t + ɲ ẽ n	β a t + k õ p	t a ʐ a ʔ i p u k	β a t + k ô/o ò/o p + k í/i ì/i t		c a ɾ ĩ ŋ + ʔ a ʔ	s iː t	k a b i k	k ĩ j ẽː n	j ẽː t	k a b a ó/o ɾ i t	ɨ w ɨ ɾ u t	k u s u g w e	k u h u v	ʃ ĩ + ã	k ã́ã́/ãː j + k õ p	í/i b i o g a p		k ɨ ɲ ẽː n	t a t i m b u k	k ɨ ɲ ẽː n	p u b u k a	β a t + k õ p + k í/i ì/i t
84_burnintr		k ã́/ã j	a p ɨ	k ã́/ã ã̀/ã j	tʃ u ʃ i	a ʔ p a g a t	ɲ õ n ĩ n	o s i p i k	e k a ɾ ĩ n ã	k o e k a	o í/i p i k	a ɾ e w u k	o k a j	k a i	b a k i β i p a	k ã́/ã j	p aː	k ã j		u k a j	e p o k w a	t u ʃ i	k ã́/ã ã̀/ã j
85_path	a p e	b e	p e	b e	b a h á/a	n a ʔ p i t + p e ʔ	p a	e ʔ	p eː ʔ	p e ʔ	é/e	m u ʔ a p	t a p e	p e h e	b e	b e	m e	ã p e	a p e	p e	a p eː	b a p a	b e
86_mountain		d o o	ɨ w ɨ ʔ a m	d o	tʃ ú/u á/a	n o + p ɨ ʔ	n e s o	tʃ o ʔ a	n d o + a ʔ	s oː	tʃ o ʔ á/a	ɨ i t ɨ ʔ o k	ɨ v ɨ t ɨ	ɨ v ɨ t ɨ ɾ u h u			n o	ɨ w ɨ t ɨ t	t o t e t		n d o o	t u a	d o
87_red	k o p	β óó/oː p	p i l a ŋ	β ó/o ò/o p	a s ú/u ɾ ĩ	u p t e m	s õ m	p a k	β ɨ ɾ ɨ p	i k o p	p a k	i h u p	p ɨ t ã	p i ɾ a ŋ	w ə p	β óó/oː p	óó/oː p	p i ɾ ɨ ŋ	s o p	i p i ɾ ã	ŋ g o p ŋ g o p	k a p u ɾ u ɾ i	β ó/o ò/o p
88_green		c i ɾ õ j	k ɨ t	c í/i ɾ ô/o ò/o j	a k é/e ɮ ú/u	k ɨ ɾ ɨ k t e m	k e t + p i t a t	ɾ ẽ m	ɲ ẽ ɾ ẽ m	s a ʔ ɨ p	ɾ ẽ m	i h ɨ ɾ ɨ p	h o v ɨ	j u k ɨ ɾ ɨ	h e ɾ o + a	k íí/iː t	k í/i ɾ	k a h a k ɨ ɾ a + m a h e	s i ʔ a	h o w ɨ + t e	k w e ɾ e p	a k ɨ u	k í/i ɾ i
89_yellow	tʃ a ɾ u	é/e ɾ é/e e	t u p	k é/e ɾ é/e ʔ á/a à/a p	j ũ p ĩ́/ĩ p i	c i õ p t e m	p o k o ɾ ɨ t	p e ɾ e k	p a ɾ a j	i s a ɾ o	p e k	i k a ʔ a ɨ	s a ɨ j u	j u k ɨ ɾ ɨ	a j a β a k	ʃ í/i ʔ íí/iː p	M/m a w é/e a ɾ ó/o b o		h a p ʔ e	i t a w a	t a ɾ oː t	t a k ũ ʃ ĩ	k é/e ɾ é/e è/e
8_not	n o m	ṍṍ/õː p	a n	õ õ̀/õ p	a ũ	i ʔ k e	p a d n ĩ		p iː t	n o p	ŋ ə́/ə	ɨ t + ʔ i	n d + i	n + i	n õ	a ʔ õ		n + i	ʔ õ m	ɨ m	õ m	a ũ	õ õ̀/õ p
90_white		k íí/iː t	t i ŋ	k í/i ì/i t	a w ĩ́ĩ́/ĩː w ĩː	k ɨ t t e m	p o k	ɾ i t	ŋ g a p	i p aː k	ɾ ə t	i k ɨ s i ŋ	m o ɾ o t ĩ	t i ŋ	a j a w a k	k íí/iː t	k íí/iː ɾ		h i t ʔ e	i t u w ɨ ɾ	ɲ dʒ i ɾ a	k a p ĩ	k í/i ì/i t
91_black	p ɨ k	p e é/e p	k ɨ l a w	p ê/e è/e p	i t ɨ n i k ĩ	p ĩ k t e m	ẽː m	ɾ ã m	k õ m	i p ɨː k	ó/o k	h uː n	h ũ	u n	m ĩ k ã	p é/e p	p éé/eː p	o n	s i k ʔ e	ũ	t i k t i k	t i n i k ĩ	p eː p
92_night	m a tʃ o	b i c ã k	ɨ p ɨ t a k o	b i c ã k	k a m a d é/e h ú/u	i ʔ c a k + m ã m	d i p	k i j ã b e	ŋ g i t a ʔ	m a s o p i	k a b i ó/o ŋ	w ã t ɨ m	p ɨ h a ɾ e	ɨ p ɨ t u n	ʃ e w	b i s ã k	m i ʃ ã k	ɨ p ɨ t o n	s i m ʔ e	p ɨ t u n	ɲ ĩ n d a k	k a m a d ɨ h u	b i c ã k
93_hot	a k o p	a d óó/oː p	a k u p	a d ó/o ò/o p	a k ú/u h ú/u	j a k õ p t e m	o k ɨ p	t á/a k i p	k ã j	a k o p	t a ʃ í/i p	h a k u p	h a k u	a k u v	d ə β a	a d o	a d óó/oː p	ã k o p	a k o p	h a k u	a k o p	k u h u	
94_cold	k ɨ p i tʃ i				k u á/a k u	p i t ẽ k t e m		i tʃ ɨ k		p i ts iː k	i tʃ ə̤ k	ɾ a ʔ a k						õ h ɨː ŋ		i ɾ ɨ s ã	p i t iː k	t a k u	
95_full		t õ ŋ j ã	p u t	b í/i ɾ á/a	n a n í/i ũ	t õ n n e m	o s ɨ k	e p	t õ m	i o t	b e ŋ b e ŋ	h o w o p ɨ	h e n ɨ h ẽ	ɨ n ɨ h e m	b ɨ d ə t		b íí/iː ɾ a		e ɨ ɾ a	t ɨ h ɨ ɾ e m	ɲ dʒ o t	n a n ẽ ũ	b í/i ɾ á/a
96_good	tʃ a m i	p a l í/i	k a t u	p a ɾ â/a à/a t	w ã b í/i	p ã́/ã t t e m	s e ʔ a	i t i m	p o a t	s a m e	ʃ í/i p a t	i w a k u	p o ɾ ã	k a t u	k a p i ʃ e	p a l a b ó/o t	ã t é/e e	k ã t o	p o a t	k a t u	p a ɾ e	p ã	p a ɾ aː t
97_new			p ɨ t a t u	k ô/o ɾ o			ŋ o t					i p a k u p	p ɨ a h u	p ɨ a h u		k oː t		h ɨ ã o		p ɨ a h u			k o ɾ o
98_round			ʔ a p o ʔ a			p i ɾ o n n e m	a t ĩ n ã		a β ɨ β ɨ β a		ɾ o j ɾ ə̤ j	i p o k	a p u ʔ a	a k a ŋ a ʔ i				ã p a j ã	t o ɾ o	p u ʔ a			
99_dry		k ã́/ã g ãː	m o k a ŋ a	k á/a g a à/a	tʃ u ɾ á/a tʃ ú/u	a ʔ c a ɾ a ŋ + n ã n	p i h o p	p ɨ ɾ ɨ k	m u ŋ a ŋ	i p aː g a	k á/a ɾ á/a w		k ã	k a ŋ	k ĩ ɾ ĩ k	k ã́/ã g ã	k á/a g ãː	m a k ɨ ŋ	k e t ʔ e	ʃ i k ã	p a β a	k ɨ ɾ ɨ t u	k ã́/ã g ãː
9_all		β é/e ɾ e p	n a m ã p ɨ t e	k ĩ́/ĩ ɾ ĩ́/ĩ j ã́/ã ã	b i t é/e h u	i a k a t ĩː m		p ó/o a m	β iː b m õ	p a e s eː t	s ó/o a t	t o ɾ a n i a	o p a	p a v ẽ i		s ó/o p ó/o j	b a g a t é/e ɾ		e ɾ o t e	j o h u	n d e g e	k i w i	s o p o p
