Cognate_ID	Kagazli1	Kagazli2	Kagazli3	Kagazli4	Kagazli5	Kagazli6	Kagazli7	Karaushan1	Karaushan2	Karaushan3	Karaushan4	Kiakmuz1	Kiakmuz2	Kiakmuz3	Kibarskoon	Kikulanak1	Kikulanak2	Kikulanak3	Kikulanak4	Kikulanak5	Kiorday1	Kiorday2	Kiorday3	Kiorday4	Kitamga	Kkhalqabad1	Kkhalqabad2	Kkhalqabad3	Kkkokdarya1	Kkkokdarya2	Kkkokdarya3	Kkkokdarya4	Kkshege1	Kkshege2	Kkshege3	Kkshege4	Tagalyk	Tkamangaron1	Tkamangaron2	Tkamangaron3	Tkamangaron4	Tkaptarhona1	Tkaptarhona2	Tkaptarhona3	Tkaptarhona4	Tkaptarhona5	Tnavdi1	Tnavdi2	Tnavdi3	Tnimich1	Tnimich2	Tnimich3	Tnimich4	Tnovmetan1	Tnovmetan2	Tnushor1	Tnushor2	Tnushor3	Trishtan1	Trishtan2	Trishtan3	Tshink1	Tshink2	Tshink3	Turmetan1	Turmetan2	Turmetan3	Turmetan4	Tzarmanak1	Tzarmanak2	Uhitoy1	Uhitoy2	Uhitoy3	Unovmetan3	Usoymahalla1	Usoymahalla2	Usoymahalla3	Uurtoqqishloq1	Uurtoqqishloq2	Uurtoqqishloq3	Uurtoqqishloq4	Uzarmanak3	Uzarmanak4	Ydugova1	Ydugova2	Ysafedorak1	Ysafedorak2	Ysafedorak3
fat	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m ɒ j	j ɔ q	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	m a j	r a w ɣ a n	r a w ɣ a n	r a u ɣ a n	ɣ ø r a n	r ø ɣ a n	r u h a n	r ʊ h a n	r ʊ ɣ a n	r u h a n	r u ɣ a n	r a v ɣ a n	r a v ɣ a n	r a v ɣ a n	r ʊ ɣ a n	r a w ɣ a n	r ʊ ɣ a n	r u ɣ a n	r ʉ h a n	r ʉ h a n	r a w ɣ a n	r a w ɣ a n	r ʊ ɣ a n	r ʊ ɣ a n	r u ɣ a n	r a β ɣ a n	r ɔ ɣ a n	r a v ɣ a n	r a w ɣ a n	r a v ɣ a n	r a v ɣ a n	r a v ɣ a n	r a w ɣ a n	r ʊ h a n	r y x a n	m a j	m a j	m a j	j ɔ ɣ	j ɔ ɣ	j ɔ q	j ɔ q	j ɔ χ	m ɒ j	j ɔ χ	j o g	j ɔ q	j ɔ ʁ	r u ɣ ʊ n	r u ɣ a n	r u ɣ a n i	r u ɣ u n	r u ɣ ɪ n
father	a kʲ e	a kʲ e	a kʲ e	a kʲ e	a kʲ e	a kʲ e	a kʲ e	a kʲ e	a kʲ e	a kʲ e	a t a	a t a	a t a	a t a	a t a	a t a	a t a	a t a	a t a	a t a	a t a	ɒ t a	a t a	a t a	a t a	a kʲ e	a kʲ e	a ɣ a	a t a	a kʲ e	a t a	a kʲ e	a kʲ e	a kʲ e	a kʲ e	a kʲ e	p a d a r	p a d a r	d a d a	d a d a	d a d a	d a d a	p a d a r	p a d a r	p a d a r	d a d a	p a d a r	p a d a r	p a d a r	p a d a r	p a d a r	p a d a r	a vː ɔ	d a d a	d a d a	p a d a r	p a d a r	a β ɔ	d ø d ɔ	d ɔ d ɔ	d a d a	p a d a r	d ɔ d ɔ	p a d a r	p a d a r	p a d a r	p a d a r	d ɔ d ɔ	ɔ t a	ɔ t a	a ɣ a	a kʲ e	a kʲ e	ɔ t a	ɔ t a	ɔ t a	ɔ t a	ɔ t a	ɔ t a	ɔ t a	ɔ t a	ɔ t a	o t a	d ɔ d ɔ	d ɔ d ɔ	d ɔ d ɔ	d ɔ d ɔ	d ɔ d ɔ
feather	q a n a t	q a n a t	p ɪ r ʊ		m a m ɔ q	q a n a t		p ɛ r	p ɛ r	q a w ɔ r s ɨ n	ʒ ɪ m	q a n a t	q a n a t	q a n a t	q a n a t	q a n a t	q a n a t	q a n a t	p ə r	q a n a t	p a t	p a t	p a t	p a t	q a n a t	p æ r	p a r	p æ r	p a r	p a r	p a r	p ɛ r	p æ r	p æ r	p æ r	p a r	p a r	p a t	p a t	pʲ e r o	p a r	p a r	p a t		p a t	p a t	p a r	p a r	q a n ɔ t	p a r	p a r	p a r	p a r	p a ʃ	p a r	p a r	p a r	p a r	p a r	p a t	p a r	p a r	p a r	p a r	p a r		p a r		p a r	p a t	p æ r	p æ r	p a r		p a t	p a t	p a t	p a t	p a t	p a t	p a r	q a n ɔ t	p a t	q a n a t	p a r	p a r	p a r	
fire	w ɔ t	ʒ a l ɨ n	w ɔ t	w ɔ t	w ɔ t	w ɔ t	w ɔ t	w ɔ t	w ɔ t	w ɔ t	w ɔ t	ɔ t	ɔ t	ɔ t	ɔ t	ɔ t	ɔ t	ɔ t	ɔ t	ɔ t	ɔ t	w ɔ t	w ɔ t	ɔ t	ɔ t	ʒ aː l ə n	ʒ aː l ə n	w ɔ t	w ɔ t	w ɔ t	w ɔ t	w ɔ t	ʒ aː l ə n	w ɔ t	ʒ̊ aː l ə n	w ɔ t	a l ɔ w	a l ɔ w	a l ɔ b	a l a ɔ	a l ɔ w	a l a w	a ɣ a w	a l a v	a l a w	a l a ɔ	a l ɔ v	a l ɔ v	a l ɔ v	a l ɔ w	ɔ t a ʃ	a l ɔ w	a l ɔ w	ɔ l a w	ɔ l ɣ a	a l ɔ w	a l ɔ w	a l ɔ w	ɒ l ɔ b̥	a l ɔ b̥	a l ɔ b̥	a l ɔ v	a l ɔ v	ɔ t a ʃ	a l ɔ b	a l ɔ w	ɔ t a ʃ	a l ɔ v	ɔ l a w	ɔ l a w	w ɔ t	w ɔ t	w ɔ t	ɔ l ɔ v	ɔ t	a l ɔ v	ɔ t	a l ɔ w	a l ɔ w	a l ɔ w	a l ɔ w	ɔ l ɔ v	ɔ l ɔ v	ɔ l ɔ w	ɔ l ɔ w	ɔ l ɔ β	ɔ l ɔ w	
fish	b ɒ l ə q	b a l ə q	b a l ɜ q	b a l ɜ q	b a l ɜ q	b a l ɜ q	b a l ɜ q	b a l ɜ q	b a l ɜ q	b a l ɜ q	b a l ɜ q	b a l ɨ q	b a l ɨ q	b a l ɨ q	b a l ɨ q	b a l ɨ q	b a l ɨ q	b a l ɨ q	b a l ɨ q	b a l ɨ q	b a l ɨ q	b a l ɨ q	b a l ɜ q	b a l ɨ q	b a l ɨ q	b a l ɜ q	b a l ɜ q	b a l ɜ q	b a l ɜ q	b a l ɜ q	b a l ɜ q	b a l ɜ q	b a l ɜ q	b a l ɜ q	b a l ɜ q	b a l ɜ q	m ɔ h i	m a h i	m ɔ h i	m a h i	m a h i	m a j i	m ɔ h i	m a h i	m a h i	m a h i	m ɔ h iː	m ɔ h iː	m ɔ h iː	m a h iˑ	m ɔ h i	m a h i	m ɔ h i	m a h i	m a j i	m ɔ h i	m ɔ h i	m a h i	m a h iˑ	b a l ə k	m ɔ h i	m ɔ h i	m ɔ h ɪ	m ɔ h ɪ	m ɔ h ɪ	m ɔ h ɪ	m ɔ h i	m ɔ h i	m a h i	m a h i	b a l ɜ q	b a l ɜ q	b a l ɜ q	b a l ɨ q	b a l ɨ q	b a l ɜ q	b a l ɜ q	b a l ə q	b a l ɜ q	b a l ɜ q	b a l ɜ q	b a l ɛ q	b a l ɨ q	m a h iː	m ɔ h iː	m ɔ h iː	m ɔ h iː	m a h iː
five	bʲ ɪ s	bʲ ɪ s	bʲ e s	bʲ ɪ s	bʲ ɪ s	bʲ e s	bʲ ɪ s	bʲ ɪ s	bʲ ɪ ʃ	bʲ ɪ s	bʲ ɪ s	bʲ e ʃ	bʲ e ʃ	bʲ e ʃ	bʲ ɪ ʃ	bʲ e ʃ	bʲ e ʃ	bʲ e ʃ	bʲ e ʃ	bʲ e ʃ	bʲ e ʃ	bʲ e ʃ	bʲ e ʃ	bʲ e ʃ	bʲ e ʃ	bʲ e s	bʲ e s	bʲ e s	bʲ e ʃ	bʲ ɪ s	bʲ ɪ s	bʲ e s	bʲ ɪ s	bʲ ɪ s	bʲ ɪ s	bʲ ɪ s	p a n dʒ	p a n ʒ	p a n ʒ	p a n ʒ t a	p a n ʒ	p a n dʒ	p a n ʒ	p a n ʒ	p a n ʒ	p a n ʒ	p a n dʒ̥	p a n ʃ t ɐ	p a n ʃ t ɐ	p a n ʒ	p a n ʒ	p a n ʒ	p a n ʒ	p a nʲ ʒ t a	p a n ʒ	p a n ʒ	p a n ʒ	p a n ʒ̊	p a n ʒ	p a n ʒ	p a n ʃ t a	p a n ʒ	p a n ʒ t a	p a n ʒ	p a n ʒ	p a n ʒ	p a n ʒ	p a n ʒ	p a n tʃ	p a n tʃ	bʲ ɪ ʃ	bʲ ɪ s	bʲ ɪ s	b ɪ ʃ	bʲ e ʃ	bʲ e ʃ	bʲ e ʃ	bʲ e ʃ	bʲ e ʃ t a	b ɪ s	b ɪ s	bʲ ɪ ʃ	b ɪ ʃ	p a n ʒ	p a n tʃ	p a n tʃ	p a n tʃ	p a n tʃ
flower	g ʊ l	g ʊ ɬ	g ʊ ɬ	g ʊ ɬ	g ʉ ɬ	g ʉ ɬ	g ʉ ɬ	k ʉ l	g ʉ l	g ʊ l	g ʊ l	g y l	g y l	g̊ y l	g̊ ʉ l	g y l	g ʊ l	g y l	g̊ y l	g y l	g y l	g y l	g y l	g y l	k ʊ l	g ʉ l	g ʉ l	g ʉ l	g y ɬ	g ʊ ɬ	g ʊ l	g ʊ l	g ʉ l	g ʉ l	g ʉ l	g ʉ l	g ʊ l	g u l	g y l	k u l	g u l	g ø l	g y l	g u l	g ø l	g u l	g u l	g u l	g u l	g u l	g u ɬ	g ɬ̩	g l̩	g u l	g u l	g l̩	g ʊ l	g l̩	g y l	g y l	g y l̥	g ʉ l	g ʉ l	g ʉ l	g ʊ l	g ʊ l	g l̩	g l̩	g u l	g u l	g ʊ l	g ʉ l	g ʉ l	g u l	g y l	g y l	g y l	g ʉ l	g ʉ ɬ	g ʊ l	g ʉ l	g ʊ l	g u l	g u l	g u l	g u l	g u l	g u l
fog	t ʉ m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t ʊ m a n	t ʊ m a n	t ʊ m a n	t ʊ m a n	t ʊ m a n	t ʊ m a n	t u m a n	t u m a n	t u m a n	t u m a n	t ʊ m a n	t u m a n	t u m a n	d u m a n	t u m a n	t u m a n	t u m a n	t u m a n	d u m a n	d u m a n	d u m a n	d u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t u m a n	t ʊ m a n	t u m a n	t u m a n	
forest	w ɔ r m a n	w ʊ r m o n	u r m a n	u r m a n	w ɔ r m a n	w ɔ r m a n	w ɔ r m a n	t ɔ ɣ ɔ j	t ɔ ɣ ɔ j	w ʊ r m a n	t ɔ ɣ ɔ j	t ɔ q ɔ j	t ɔ q ɔ j	t ɔ q ɔ j	t ɔ q ɔ j	t ɔ q ɔ j	t ɔ q ɔ j	t ɔ q ɔ j	t ɔ q ɔ j	t ɔ q ɔ j	t ɔ q ɔ j	w ɔ r m a n	u r m a n	t ɔ q ɔ j	t ɔ q ɔ j	t ɔ ɣ ɔ j	t ɔ ɣ a j	t ɔ ɣ ɔ j	t ɔ ɣ ɔ j	t ɔ ɣ a j	ʊ r m ɔ n	t o ɣ ɔ j	t o ɣ ɔ j	t o ɣ ɔ j	t ɔ ɣ ɔ j	t ɔ ɣ ɔ j	bʲ e ʃ a	u r m ʊ n	y r m ʊ n	ø r m ɔ n	ø r m ɔ n	u r m ɔ n	u r m ɔ n	m u r m ʊ n	u r m ʊ n	u r m ʊ n	dʒ a n g a l	dʒ a n g a ɬ	dʒ a n g a l	dʒ a n g a l	dʒ a n g a l	dʒ a n g a l	dʒ a n g a l		ʉ r m ɔ n	dʒ a n g a l	dʒ a n g a l	dʒ a n g a l	u r m ɔ n	u r m ɔ n	d a r a x z ɔ r	dʒ a n g a l	dʒ a n g a l	dʒ a n g a l	dʒ a n g a l	dʒ a n g a l	dʒ a n g a l	dʒ a n g a l	ʉ r m ɔ n	ʉ r m ɔ n	w u r m a n	t ʊ ɣ a j	t ʊ ɣ a j	ʉ r m ɔ n	u r m ɔ n	u r m ɔ n	u r m ɔ n	ʊ r m ɔ n	ʊ r m ɔ n	u r m ɔ n	u r m ɒ n	y r m ɔ n	ʉ r m ɔ n	dʒ a n g a l	dʒ a n g a l	dʒ a n g a l	dʒ a n g a l	dʒ a n g a l
four	t ø r t	t ø r t	t w ø r t	tʲ ø r t	t ø r t	t ø r tʲ e w	t ø r t	t ø r t	t œ r t	t ø r t	t ø r t	t o r t	t ø r t	t ø r t	t ø r t	t ø r t	t ø r t	t ø r t	t ø r t	t ø r t	t ø r t	t ø r	t ø r t	t ø r t	t ø r t	t ø r t	t ø r t	t ø r t	t œ r t	t œ r t	t ø r t	t ø r t	t w ø r t	t ø r t	t ø r t	t ø r t	tʃ a h ɔ r	tʃ ɔ r	tʃ ɔ r	tʃ ɔ r t a	tʃ ɔ r	tʃ ɔː r	tʃ a h ɔ r	tʃ ɔ r	tʃ ɔ r	tʃ ɔ r	tʃ ɔ r	tʃ ɔ r t ə	tʃ ɔ r t ɐ	tʃ ɔ r	tʃ o h ɔ r	tʃ ɔ h ɔ r	tʃ ɔ r	tʃ ɔ r t a	tʃ ɔ r	tʃ ɔ r	tʃ ɔ r	tʃ ɔ r	tʃ ɔ r	tʃ ɔ r	tʃ ɔ r t a	tʃ ɔ r	tʃ ɔ r t a	tʃ ɔˑ r	tʃ ɔ r	tʃ ɔ r	tʃ ɔ r	tʃ ɔ r	tʃ ɔ r t a	tʃ ɔ r	t ø r t	t ø r t	t ø r t	t ʉ r t	t ø r	t ø r	t ø r t	t ʉ r t	t ʉ r t a	t ʉ r t	t ʉ r t	t ʉ r t	t ʉ r t	s a f ɔ r	t u f ɔː r	t ʊ f ɔ r	t f uː r	t f ɔː r
fruit	ʒʲ e m ɪ s	ʒ e m ɪ s	ʒ ɪ m s	ʒ i m ɪ s	ʒ i m ɪ s	ʒ e m ɪ s	ʒ e m ɪ s	ʒʲ e m ɪ s	ʒʲ e m ɪ s	ʒʲ e m ɪ s	ʒʲ e m ɨ s	dʒ e m ɪ ʃ	dʒ e m ɪ ʃ	dʒ e m ɪ ʃ	dʒ e m ɪ ʃ	dʒ e m ɪ ʃ	dʒ e m ɪ ʃ	dʒ e m ɪ s	dʒ e m ɪ s	dʒ e m ɪ s	mʲ ɪ v a	mʲ ɪ v a	mʲ e vʲ e		dʒ e m ɪ ʃ	m i β ø	m i β ø	m i β ø	m i v a	m i w e	ʒ e m ɪ s	mʲ ɪ β e	m i β ø	m i β ø	m i β e	m i β e	mʲ e v a	m e v a	mʲ e v a	mʲ e v a	m ɪ v a	m e v a	m e v a	mʲ e v a	mʲ e v a	m i v a	m e v a	m e v a	m e v a	m e v a	m e v a	m ɪ v a	m e v a	z a r d o l o	z a l d o r ʊ	m e v a	m e v a	m e v a	mʲ e v a	mʲ e v a	mʲ e v a	m e v a	m e v a	m e v a	m e v a	m e v a	m e v a	m e v a	m e v a	m e v a	mʲ ɪ v ø	mʲ ɪ β e	mʲ ɪ v e	mʲ e v a	mʲ ɪ v a	mʲ ɪ v a	mʲ ɪ v a	m ɪ v a	m ɪ v a	m ɪ v a	m ɪ v a	mʲ e v a	mʲ e v a		m e v a	m ɪ v a	m ɪ v a	m ɪ v a
full	t ɔ l ə q	t ɔ l ɜ	t ɔ l ɜ q	t o l ə q	t ɔ l ɜ q	t ɔ l ɜ	t ɔ l q	t ɔ l ɜ	t ɔ l q	t ɔ l ɜ q	t ɔ l ɜ q	t ɔ l ʊ q	t ɔ l ʊ q	t ɔ l ʊ q	t ɔ l t ʊ r a	t ɔ l t ʊ r a	t ɔ l ʊ q	t ɔ l t ʊ r a	t ɔ l ʊ q	t ɔ l ʊ q	t ɔ l ə q	t ɔ l d ɜ r	b a r d ɐ d ɐ	t ɔ l ʊ q	t ɔ l t ʊ r a	t ɔ l ɜ q	t ɔ l ɜ q	t ɔ l ɜ q	t ɔ l ɜ	t ɔ l ɜ ʔ	t ɔ l ɜ q	t ɔ l ɜ q	t ɔ l ɜ	t ɔ l ɜ q	t ɔ l ɜ q	t ɔ l ɜ	p ʉ rː a k	p ʊ rː a	p ʊ r	p ʊ rː a k	p u r	p ø r	p u r	p ə r	p ɨ r	p r̩	p u rː ɐ	p u rː a	p u r	p u r	p u r	p r̩	p r̩		p u r	p r̩	p u r	p ə r ɐ	p y r ə	p ø r	p y r	p r̩	p r̩	p r̩	p ʊ r	p ə rː a	p r̩	p r̩	p u r	p u r	t ɔ l ɜ	t ɔ l ɜ	t ɔ l ɜ	t ʉ l a	t ɔ l a	t ɔ l ɐ	t ɔ l d ə r	t ʊ l a	t ʉ l a	t ʉ l ɜ q	t ʊ l ɜ q		t ʉ l ə	p ʊ n	p ʊ n	p ʊ n	p ʊ n	
good	ʒ a x s ə	ʒ a x s ə	ʒ a x s ə	ʒ a x s ə	ʒ a x s ə	ʒ a x s ə	ʒ a x s ə	ʒ a x s ɨ	ʒ a x s ɨ	ʒ a x s ɨ	ʒ a x s ɨ	d ʒ a q ʃ ɨ	d ʒ a q ʃ ɨ	d ʒ a q ʃ ɨ	d ʒ a q ʃ ɨ	d ʒ a q ʃ ɨ	d ʒ a q ʃ ɨ	d ʒ a q ʃ ɪ	d ʒ a q ʃ ɨ	d ʒ a q ʃ ɨ	d ʒ a q ʃ ɨ	d ʒ a q ʃ ɪ	d ʒ a x ʃ ɪ	d ʒ a x ʃ ɨ	d ʒ a q ʃ ɨ	ʒ a x s ɨ	ʒ a x s ɨ	ʒ a x s ɨ	j a x s ɨ	ʒ a x s ɨ	ʒ a x s ɨ	ʒ a x s ɨ	ʒ a x s ɜ	ʒ a x s ɨ	ʒ a x s ɨ	ʒ a x s ɨ	x u b̥	n a ɣ z	n a ɣ z	n a ɣ z̥	n a ɣ z	n a ɣ ə z	n a ɣ z	n a ɣ z	n a ɣ z	n a ɣ z	x u b̥	x ʊ b̥	x ʊ b̥	n a ɣ z̥	n a ɣ z	x ʊ b̥	x ʊ p	s a r a	s a r a	n a ɣ z	n a ɣ z	x ʊ b	n a ɣ z	n a ɣ z	n a ɣ z	n a ɣ z	n a ɣ z	n a ɣ z	n a ɣ z	n a ɣ z	n a ɣ z	n a ɣ z	n a ɣ z	n a ɣ z	j a x ʃ ɨ	j a x ʃ ɨ	j a x ʃ ɨ	j a x ʃ ɪ	j a x ʃ ɨ	j a x ʃ ə	j a x ʃ ə	j a x ʃ ɪ	j a x ʃ ə	j a x ʃ ə	j a x ʃ ɪ	j a x ʃ ɪ	j a x ʃ ɪ	n a ɣ z	x ʊ ʃ r ʊː	x ʊ p	x ʊ r ʃ ʊː	
grass	ʃ ø p	w ɔ t	ʃ ø p	ʃ ø p	ʃ ø p		ʃ ø p	ʃ ø p	ʃ ø p	ʃ ø p	ʃ ɔ p	tʃ ø p	tʃ ø p	tʃ ø p	tʃ ø p	tʃ ø p	tʃ ø p	tʃ ø p	tʃ ø p	tʃ ø p	tʃ ø p	w ɔ t	tʃ ø p	tʃ ø p	tʃ ø p	ʃ ø p	ʃ ø p	ʃ ø p	w ɔ t ə n	ʃ ø p	w ɔ t	ʃ ø p	ʃ ø p	ʃ ø p	ʃ ø p	ʃ ø p	s a b z a	a l a f	a l a f	tʃ ø p	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	a l a f	w ɔ t	tʃ ø p	ʃ ø p	ʉ t	k ø k a t	k ø k a t	ɔ t	w ɔ t	w ɔ t	w ɔ t	w ɔ t	w ʉ t	ʉ t	v a j ʃ	v e ʃ	v e ʃ	v a j ʃ	v a j ʃ
green	ʒ a s ɨ ɬ	ʒ a s ɨ ɬ	ʒ a s ə ɬ	ʒ a s ə ɬ	ʒ a s ɜ ɬ	ʒ a s ɜ ɬ	ʒ a s ɜ ɬ	k w ø k	ʒ a ʃ ə l	ʒ a ʃ ɨ l	ʒ a ʃ ɨ l	dʒ a ʃ ɪ l	dʒ a ʃ ɨ l	dʒ a ʃ ɨ l	dʒ a ʃ ɨ l	dʒ a ʃ ɨ l	dʒ a ʃ ɪ l	dʒ a ʃ ɪ l	dʒ a ʃ ɨ l	dʒ a ʃ ɪ l	dʒ a ʃ ɪ l	k ø k	dʒ a ʃ ɪ l	dʒ a ʃ ɪ l	dʒ a ʃ ɨ l	k w ø k	ʒ a s ɨ l	k ʉ k	dʒ a ʃ ɨ l	ʒ a s ɨ l	dʒ a s ɨ l	ʒ a s ɨ l	k ʉ k	k ʊ k	ʒ a s ɨ l	ʒ a s ɨ l	k a b u d̥	z a n g o r	z a n g o r		z a n g ɔ r	s a β u z̥	k a b u t	k a b u t	k a b u t	k a b t̩	k a b u d̥	s a v z	s a v z	s a v z	s a w z	s a w z	s a w z	k a b ɨ t	k a b ɨ t	s a w z	k a b u d	s a w z	z a n g ɔ r	k a b u t	k a b u t	k a b ɨ d	s a b z	s a v z	s a b z	k a b u d	s a v z	k a b ɨ d	k a b ɨ t		j a ʃ ɨ l	dʒ a s ɨ l	dʒ a s ɨ l	k ʉ k	z a n gʲ ɔ r ɪ	k ø k	k ø k	j a ʃ ɪ l	j a ʃ ɪ l	j a ʃ ɪ l	j a ʃ ɪ l	k ʉ k	j a ʃ ɪ l	k a b u d̥	s a b z	s a b z	s a b z	
hair	ʃ a ʃ	ʃ a ʃ	ʃ a ʃ	ʃ a ʃ	ʃ a ʃ	ʃ a ʃ	ʃ a ʃ	ʃ a ʃ	ʃ a ʃ	ʃ a ʃ	tʃ a s	tʃ a tʃ	tʃ a tʃ	tʃ a tʃ	tʃ a tʃ	tʃ a tʃ	tʃ a tʃ	tʃ a tʃ	tʃ a tʃ	tʃ a tʃ	tʃ a tʃ	tʃ a tʃ	tʃ a tʃ	tʃ a tʃ	tʃ a tʃ	ʃ a ʃ	ʃ a ʃ	ʃ a ʃ	s a s	ʃ a ʃ	s a ʃ	ʃ a ʃ	ʃ a ʃ	ʃ a ʃ	ʃ a ʃ	ʃ a ʃ	m u j	m ø j	m ø j	m ø	m ø h ɔ	m ʊ	m u j	m u	q i l	m u h	m u j	m u j	m u	m u	m u j h ɔ	m ʊ	m ʊˑ	m ʉ j	m ʉ j	m ʊ j	m ʊ j	m ʊ	m uː	m uː	m u	m ɔ j	m ʊ j	m ʊ j	m ʊ j	m ʊ j	m ʊ j	m ʊ	m ʉ j	m ʉ j	tʃ a tʃ	tʃ a tʃ	tʃ a ʃ	s ɔ tʃ	s ɔ tʃ	s ɒ tʃ	ʃ ɔ tʃ	s ɔ tʃ	s ɔ tʃ	s ɔ tʃ	s ɔ tʃ	s ɔ tʃ	s ɔ tʃ	p a ʃ m̩	d a r a v	d i r a β	d ɪ r a w	d ɪ r a β
hand	q o ɬ	q o ɬ	χ o ɬ	q o l	q ɔ ɬ	q ɔ ɬ	q ɔ ɬ	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	q ɔ l	d a s t	d a s t	d a s t	d a s t	d a s t	d e s t	d a s t	d ø s t	d a s t	d ɛ s t	d a s t	d a s t	d a s t	d a s t	d a s t	d a s t	d ə s t	d a s t	d a s t	d a s t	d a s t	d ə s t	d a s t	d a s t	d a s t	d a s t	d a s t	d a s t	d a s t	d a s t	d a s t	d a s t	d a s t	d a s t	q ɔ l	q ɔ l	q ɔ l	q ʉ l	q ɔ l	q ɔ l	q ɔ l	k w ʊ ɬ	k w o ɬ	k ʊ ɬ	k ʉ ɬ	q ʉ l	q ʉ l	d a s t	d a s t	d a s t	d a s t	d a s t
he	w ɔ ɬ	u	w o	w ɔ l	w ɔ l	w ɔ ɬ	w ɔ ɬ	w ɔ l	w ɔ l	w ɔ l	w ɔ l	a l	a l	a l	a l	a l	a l	a l	a l	a l	ʊ	ʊ	ʊ	ɒ l	a l	w ɔ l	w ɔ l	w ɔ l	w ɔ l	w ɔ l	w ɔ l	w ɔ l	w ɔ l	w ɔ l	w ɔ l	w ɔ l	ɔ n	v a j	v a j		v a j	v a j	v a j	v a j ɔ	v a j	v a j	v a j	v a j	v a j	v a j	v a j	ʊ	ʊ	i n	v a j	ɔ n		ʊ	v a j	v a j	v a j	v a j	v a j	v a j	v a j	v a j	v a j	ɔ n	v a j	v a j	w ɔ l	w ɔ l	w ɔ l	u	ʊ	ʊ	ʊ	u	u	ʊ	ʊ	u	u	v a j	a x	a x	a x	a x
head	b a s	b a s	b a s	b a s	b a s	b a s	b a s	b a s	b a s	b a s	b a s	b a ʃ	b a ʃ	b a ʃ	b a ʃ	b a ʃ	b a ʃ	b a ʃ	b a ʃ	b a ʃ	b ɒ ʃ	b ɒ ʃ	b a ʃ	b ɒ ʃ	b a ʃ	b a s	b a s	b a s	b a s	b a s	b a s	b a s	b a s	b a s	b a s	b a s	s a r	s a r	k a lː a	k a lː a	s a r	s a r	s a r	k a lː a	k a lː a	k a lː a	s a r	s a r	s a r	s a r	s a r	s a r	s a r	s a r	k a lː a	s a r	s a r	s a r	s a r	s a r	k a lː a	s a r	s a r	s a r	k a lː a	s a r	k a lː a	k a lː a	k a lː a	s a r	b a ʃ	b a ʃ	b a ʃ	b ɔ ʃʲ	b ɒ ʃ	b ɔ ʃ	b ɔ ʃ	b ɔ ʃ	b ɔ ʃ	b ɔ ʃ	k a lː a	b ɔ ʃ	b ɔ ʃ	s a r	s a r	s a r	s a r	s a r
